date,price,volume_24h,high_24h,low_24h,market_cap,exchanges,rank
2025-11-27,112.42,34737564.0,113.5,109.8,2360683507.0,"['BitKan', 'Gate', 'XT.COM', 'CoinW', 'Bitrue']",
2025-12-06,107.3061921335957,242940.507336843,109.9995554193597,102.346323819467,2253430034.8055096,,
