date,price,volume_24h,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap,exchanges
2025-11-13,38.22,443162026.0,40.65,37.77,-0.56063505575283,-1.44583,10346931311.0,
2025-12-05,30.67,319561077.0,33.88,30.64,,,8298542504.0,[]
2025-12-06,31.14109622036485,4244884.72093174,31.40534606472598,30.49533644494769,,,31125019032.209618,
2025-12-13,29.1350383160024,6844771.76068564,30.25497655393061,27.91968193896586,,,29119745246.636696,
