date,price,volume_24h,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap
2025-11-13,9.49e-06,158520127.0,9.97e-06,9.47e-06,-1.62294509566e-07,-1.68227,5590160687.0
2025-12-06,8.39521284400026e-06,7447929619010.45,8.87490060788044e-06,8.15285281644911e-06,,,4949871889.976705
2025-12-13,8.43311735078395e-06,6950031833603.5,8.44826880672553e-06,8.0648775590048e-06,,,4972220630.016391
